Year,Age,Egg_Type,Donor,B_rate
2012,35,fresh,0,22.4
2012,37,fresh,0,13.8
2012,40,fresh,0,8.9
2012,42,fresh,0,3.1
2012,44,fresh,0,0.6
2012,46,fresh,0,0.1
2012,35,frozen,0,15.3
2012,37,frozen,0,8.4
2012,40,frozen,0,4.7
2012,42,frozen,0,1.4
2012,44,frozen,0,0.3
2012,46,frozen,0,0.1
2012,,fresh,1,11
2012,,frozen,1,6.8
2011,35,fresh,0,27.2
2011,37,fresh,0,22.9
2011,40,fresh,0,16.7
2011,42,fresh,0,10.2
2011,44,fresh,0,4.7
2011,46,fresh,0,1.1
2011,35,frozen,0,29.1
2011,37,frozen,0,28.2
2011,40,frozen,0,24.1
2011,42,frozen,0,20.2
2011,44,frozen,0,14.7
2011,46,frozen,0,13
2011,,fresh,1,35.1
2011,,frozen,1,27.2
2010,35,fresh,0,23.9
2010,37,fresh,0,14.5
2010,40,fresh,0,10.2
2010,42,fresh,0,3.2
2010,44,fresh,0,0.5
2010,46,fresh,0,
2010,35,frozen,0,17.4
2010,37,frozen,0,7.4
2010,40,frozen,0,4.3
2010,42,frozen,0,0.9
2010,44,frozen,0,0.1
2010,46,frozen,0,
2010,,fresh,1,18.9
2010,,frozen,1,8
2009,35,fresh,0,23.7
2009,37,fresh,0,14.4
2009,40,fresh,0,10.2
2009,42,fresh,0,3.4
2009,44,fresh,0,0.5
2009,46,fresh,0,
2009,35,frozen,0,14.5
2009,37,frozen,0,6.4
2009,40,frozen,0,3.7
2009,42,frozen,0,0.8
2009,44,frozen,0,0.2
2009,46,frozen,0,
2009,,fresh,1,19.2
2009,,frozen,1,7.6
2008,35,fresh,0,24.3
2008,37,fresh,0,14.7
2008,40,fresh,0,10.3
2008,42,fresh,0,3.1
2008,44,fresh,0,0.5
2008,46,fresh,0,
2008,35,frozen,0,14.9
2008,37,frozen,0,6.4
2008,40,frozen,0,3.4
2008,42,frozen,0,0.5
2008,44,frozen,0,0.1
2008,46,frozen,0,
2008,,fresh,1,19.7
2008,,frozen,1,7.6
2007,35,fresh,0,23.7
2007,37,fresh,0,14.8
2007,40,fresh,0,9.8
2007,42,fresh,0,2.8
2007,44,fresh,0,0.6
2007,46,fresh,0,
2007,35,frozen,0,13.2
2007,37,frozen,0,6.3
2007,40,frozen,0,3.2
2007,42,frozen,0,0.5
2007,44,frozen,0,0.1
2007,46,frozen,0,
2007,,fresh,1,19
2007,,frozen,1,7
2006,35,fresh,0,23.4
2006,37,fresh,0,14.8
2006,40,fresh,0,9.7
2006,42,fresh,0,2.8
2006,44,fresh,0,
2006,46,fresh,0,
2006,35,frozen,0,12.7
2006,37,frozen,0,5.2
2006,40,frozen,0,2.6
2006,42,frozen,0,0.2
2006,44,frozen,0,
2006,46,frozen,0,
2006,,fresh,1,18.9
2006,,frozen,1,6.6
2005,35,fresh,0,22.1
2005,37,fresh,0,13.8
2005,40,fresh,0,9
2005,42,fresh,0,2.8
2005,44,fresh,0,
2005,46,fresh,0,
2005,35,frozen,0,11.6
2005,37,frozen,0,5.3
2005,40,frozen,0,2.4
2005,42,frozen,0,0.1
2005,44,frozen,0,
2005,46,frozen,0,
2005,,fresh,1,17.7
2005,,frozen,1,6.3
2004,35,fresh,0,21.7
2004,37,fresh,0,13.1
2004,40,fresh,0,8.9
2004,42,fresh,0,2.5
2004,44,fresh,0,
2004,46,fresh,0,
2004,35,frozen,0,10.5
2004,37,frozen,0,4.4
2004,40,frozen,0,2.3
2004,42,frozen,0,0.2
2004,44,frozen,0,
2004,46,frozen,0,
2004,,fresh,1,16.5
2004,,frozen,1,5.3
2003,35,fresh,0,21
2003,37,fresh,0,14.1
2003,40,fresh,0,9.5
2003,42,fresh,0,2.3
2003,44,fresh,0,
2003,46,fresh,0,
2003,35,frozen,0,10.2
2003,37,frozen,0,4.5
2003,40,frozen,0,2.1
2003,42,frozen,0,0.1
2003,44,frozen,0,
2003,46,frozen,0,
2003,,fresh,1,17.6
2003,,frozen,1,4.8
2002,35,fresh,0,21.1
2002,37,fresh,0,12.6
2002,40,fresh,0,8.4
2002,42,fresh,0,2.6
2002,44,fresh,0,
2002,46,fresh,0,
2002,35,frozen,0,8.7
2002,37,frozen,0,3.3
2002,40,frozen,0,1.5
2002,42,frozen,0,0.1
2002,44,frozen,0,
2002,46,frozen,0,
2002,,fresh,1,15.5
2002,,frozen,1,3.7
2001,35,fresh,0,18.7
2001,37,fresh,0,11.6
2001,40,fresh,0,8.1
2001,42,fresh,0,2
2001,44,fresh,0,
2001,46,fresh,0,
2001,35,frozen,0,8.4
2001,37,frozen,0,3.3
2001,40,frozen,0,1.3
2001,42,frozen,0,0.1
2001,44,frozen,0,
2001,46,frozen,0,
2001,,fresh,1,14.8
2001,,frozen,1,3.5
2000,35,fresh,0,25
2000,37,fresh,0,15.8
2000,40,fresh,0,8.7
2000,42,fresh,0,2.3
2000,44,fresh,0,
2000,46,fresh,0,
2000,35,frozen,0,5.9
2000,37,frozen,0,2.2
2000,40,frozen,0,1.1
2000,42,frozen,0,0.1
2000,44,frozen,0,
2000,46,frozen,0,
2000,,fresh,1,12.9
2000,,frozen,1,2.4
1999,35,fresh,0,24.8
1999,37,fresh,0,14.4
1999,40,fresh,0,8.8
1999,42,fresh,0,1.8
1999,44,fresh,0,
1999,46,fresh,0,
1999,35,frozen,0,4.6
1999,37,frozen,0,1.8
1999,40,frozen,0,0.8
1999,42,frozen,0,0.2
1999,44,frozen,0,
1999,46,frozen,0,
1999,,fresh,1,10.2
1999,,frozen,1,2.6
